Dot Point Measurements

Generated: Friday, February 01, 2019 11:16:55

Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Flower ID,Animal ID,A/D
T1_17L.avi,  19276,  10.7196,Time deployment,   9.6680,754,2210,T1_17,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,1,F,Attracted,2,1,
T1_17L.avi,  25670,  14.2754,Time deployment,  13.2238,713,2316,T1_17,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,1,F,Attracted,2,2,
T1_17L.avi,  30270,  16.8335,Time deployment,  15.7819,735,2180,T1_17,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,F,,2,3,New_flower
T1_17L.avi,  31440,  17.4841,Time deployment,  16.4325,684,1854,T1_17,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,F,,4,3,New_flower
T1_17L.avi,  31926,  17.7544,Time deployment,  16.7028,908,1589,T1_17,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,F,,1,3,New_flower
T1_17L.avi,  38166,  21.2245,Time deployment,  20.1729,697,1861,T1_17,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,F,,4,4,New_flower
T1_17L.avi,  39184,  21.7907,Time deployment,  20.7391,920,1586,T1_17,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,F,,1,4,New_flower
T1_17L.avi,  39915,  22.1972,Time deployment,  21.1456,762,2236,T1_17,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,F,,2,4,New_flower
T1_17L.avi,  94578,  52.5959,Time deployment,  51.5443,1013,1758,T1_17,Jake,,,,,,,,,,,Hesperidae,,sp,,1,,Attracted,1,5,
