Dot Point Measurements

Generated: Friday, February 01, 2019 11:17:08

Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Flower ID,Animal ID,A/D
T2_03L.avi,  15364,   8.5441,Time deployment,   0.1896,730,1563,T2_03,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,AD,Collecting nectar,,1,New_flower
T2_03L.avi,  15364,   8.5441,Time deployment,   0.1896,470,759,T2_03,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,AD,Passing,,2,
T2_03L.avi,  34565,  19.2220,Time deployment,  10.8675,167,2075,T2_03,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,AD,Collecting nectar,,,New_flower
T2_03L.avi,  34565,  19.2220,Time deployment,  10.8675,430,2043,T2_03,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,AD,Collecting nectar,,,New_flower
T2_03L.avi,  35953,  19.9939,Time deployment,  11.6394,772,2218,T2_03,Jake,,,,,,,,,,,Lauxaniidae,Sapromyza,sp,24,1,AD,Attracted,,3,
T2_03L.avi,  76011,  42.2706,Time deployment,  33.9161,700,871,T2_03,Jake,,,,,,,,,,,Order_Diptera,,,4,1,AD,Passing,,4,
T2_03L.avi,  79441,  44.1781,Time deployment,  35.8236,784,2036,T2_03,Jake,,,,,,,,,,,Oxyopidae,Oxyopes,sp,39,1,AD,Guarding bait,,5,
T2_03L.avi,  88202,  49.0502,Time deployment,  40.6957,506,1529,T2_03,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,AD,Collecting nectar,,,New_flower
T2_03L.avi,  88202,  49.0502,Time deployment,  40.6957,736,1802,T2_03,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,AD,Collecting nectar,,,New_flower
