Dot Point Measurements

Generated: Friday, February 01, 2019 11:17:21

Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Flower ID,Animal ID,A/D
T3_26L.avi,  23212,  12.9085,Time deployment,   4.6074,844,1458,T3_26,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,AD,Passing,,,
T3_26L.avi,  82855,  46.0766,Time deployment,  37.7756,363,223,T3_26,Jake,,,,,,,,,,,,,sp2,,1,AD,Collecting pollen or nectar,,2,New_flower
