Dot Point Measurements

Generated: Friday, February 01, 2019 14:30:54

Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Flower ID,Animal ID,A/D
T4_09R.avi,  25264,  14.0496,Time deployment,   0.0000,417,501,T4_09,Jake,,,,,,,,,,,Noctuidae,Subfamily_Agaristinae,sp,74,1,AD,Collecting pollen or nectar,,1,New_flower
T4_09R.avi,  26191,  14.5651,Time deployment,   0.5155,1302,601,T4_09,Jake,,,,,,,,,,,,,sp,,1,AD,Passing,,,
T4_09R.avi,  26302,  14.6268,Time deployment,   0.5772,560,2062,T4_09,Jake,,,,,,,,,,,Order_Coleoptera,,sp,,1,AD,Passing,,,
T4_09R.avi,  26302,  14.6268,Time deployment,   0.5772,628,2018,T4_09,Jake,,,,,,,,,,,Order_Coleoptera,,sp,,1,AD,Passing,,,
T4_09R.avi,  26402,  14.6825,Time deployment,   0.6329,337,183,T4_09,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,1,AD,Collecting pollen or nectar,,2,Arrival
T4_09R.avi,  26520,  14.7481,Time deployment,   0.6985,349,137,T4_09,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,1,AD,Collecting pollen or nectar,,2,Departure
T4_09R.avi,  27631,  15.3659,Time deployment,   1.3163,247,1933,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,3,Arrival
T4_09R.avi,  28113,  15.6340,Time deployment,   1.5844,270,1976,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,3,Departure
T4_09R.avi,  28365,  15.7741,Time deployment,   1.7245,265,1953,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,3,Arrival
T4_09R.avi,  29114,  16.1906,Time deployment,   2.1410,335,1953,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,3,Departure
T4_09R.avi,  31113,  17.3023,Time deployment,   3.2527,633,517,T4_09,Jake,,,,,,,,,,,Noctuidae,Subfamily_Agaristinae,sp,74,1,AD,Collecting pollen or nectar,,1,Departure
T4_09R.avi,  31296,  17.4041,Time deployment,   3.3545,514,489,T4_09,Jake,,,,,,,,,,,Noctuidae,Subfamily_Agaristinae,sp,74,1,AD,Collecting pollen or nectar,,1,Arrival
T4_09R.avi,  33446,  18.5997,Time deployment,   4.5501,542,606,T4_09,Jake,,,,,,,,,,,Noctuidae,Subfamily_Agaristinae,sp,74,1,AD,Collecting pollen or nectar,,1,Departure
T4_09R.avi,  33972,  18.8922,Time deployment,   4.8426,563,709,T4_09,Jake,,,,,,,,,,,Noctuidae,Subfamily_Agaristinae,sp,74,1,AD,Collecting pollen or nectar,,1,Arrival
T4_09R.avi,  36749,  20.4365,Time deployment,   6.3869,460,668,T4_09,Jake,,,,,,,,,,,Noctuidae,Subfamily_Agaristinae,sp,74,1,AD,Collecting pollen or nectar,,1,Departure
T4_09R.avi,  72337,  40.2274,Time deployment,  26.1778,494,1064,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Passing,,,
T4_09R.avi,  72337,  40.2274,Time deployment,  26.1778,177,1337,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Passing,,,
T4_09R.avi,  72337,  40.2274,Time deployment,  26.1778,85,1396,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Passing,,,
T4_09R.avi,  85136,  47.3451,Time deployment,  33.2955,612,1363,T4_09,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,AD,Passing,,,
T4_09R.avi,  86310,  47.9980,Time deployment,  33.9484,329,462,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,4,Arrival
T4_09R.avi,  86918,  48.3361,Time deployment,  34.2865,388,539,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,4,Departure
T4_09R.avi,  99815,  55.5083,Time deployment,  41.4587,229,719,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,5,Arrival
T4_09R.avi, 101743,  56.5805,Time deployment,  42.5309,313,786,T4_09,Jake,,,,,,,,,,,Curculionidae,,sp,,1,AD,Collecting pollen or nectar,,5,Departure
T4_09R.avi, 130155,  72.3807,Time deployment,  58.3311,520,1535,T4_09,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,AD,Passing,,,
