Dot Point Measurements

Generated: Friday, February 01, 2019 11:17:09

Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Flower ID,Animal ID,A/D
T2_25L.avi,  73018,  40.6062,Time deployment,  35.3971,473,2516,T2_25,Jake,,,,,,,,,,,,,sp,,1,AD,Collecting pollen or nectar,,1,New_flower
T2_25L.avi, 101089,  56.2168,Time deployment,  51.0077,90,2385,T2_25,Jake,,,,,,,,,,,Meliphagidae,,,61,1,AD,Passing,,2,
