MaxN

Generated: Friday, February 01, 2019 11:14:59

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T2_22L.avi,  23939,  13.3128,Time deployment,  12.2706,T2_22,Jake,,,,,,,,,,,Colletidae,Subfamily_Hylaeinae,sp,83,1,No
T2_22L.avi,  99533,  55.3515,Time deployment,  54.3093,T2_22,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,12,No
T2_22L.avi,  10415,   5.7919,Time deployment,   4.7497,T2_22,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,2,No
T2_22L.avi,  80277,  44.6430,Time deployment,  43.6008,T2_22,Jake,,,,,,,,,,,Lauxaniidae,Sapromyza,sp,24,1,No
T2_22L.avi,   7772,   4.3221,Time deployment,   3.2799,T2_22,Jake,,,,,,,,,,,Order_Diptera,,,4,1,No
T2_22L.avi,  54804,  30.4771,Time deployment,  29.4350,T2_22,Jake,,,,,,,,,,,Order_Diptera,,sp1,,1,No
T2_22L.avi,  31284,  17.3974,Time deployment,  16.3552,T2_22,Jake,,,,,,,,,,,Vespidae,,sp,,1,No
