MaxN

Generated: Friday, February 01, 2019 11:15:14

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T3_31L.avi,  73494,  40.8709,Time deployment,  30.7296,T3_31,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,3,No
T3_31L.avi,  53122,  29.5418,Time deployment,  19.4005,T3_31,Jake,,,,,,,,,,,Myrmeciinae,Myrmecia,sp,69,2,No
T3_31L.avi,  58973,  32.7956,Time deployment,  22.6543,T3_31,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,No
T3_31L.avi,  53336,  29.6608,Time deployment,  19.5195,T3_31,Jake,,,,,,,,,,,Superfamily_Apoidea,,sp,,1,No
