MaxN

Generated: Friday, February 01, 2019 11:15:13

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T3_06L.avi, 102958,  57.2561,Time deployment,  45.0473,T3_06,Jake,,,,,,,,,,,,,sp,,1,No
T3_06L.avi,  64339,  35.7797,Time deployment,  23.5708,T3_06,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,2,No
T3_06L.avi,  91348,  50.7997,Time deployment,  38.5908,T3_06,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,3,No
T3_06L.avi,  86120,  47.8923,Time deployment,  35.6835,T3_06,Jake,,,,,,,,,,,Nitidulidae,,sp,,2,No
T3_06L.avi,  30807,  17.1321,Time deployment,   4.9233,T3_06,Jake,,,,,,,,,,,Order_Diptera,,,4,1,No
T3_06L.avi,  31956,  17.7711,Time deployment,   5.5622,T3_06,Jake,,,,,,,,,,,Order_Diptera,,sp,,2,No
T3_06L.avi,  67700,  37.6488,Time deployment,  25.4399,T3_06,Jake,,,,,,,,,,,Superfamily_Apoidea,,sp,,1,No
