MaxN

Generated: Friday, February 01, 2019 11:14:41

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T1_22L.avi,  34992,  19.4595,Time deployment,  12.1049,T1_22,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,No
T1_22L.avi,  46947,  26.1078,Time deployment,  18.7532,T1_22,Jake,,,,,,,,,,,Formicidae,Polyrhachis,australis,30,1,No
T1_22L.avi,  38179,  21.2318,Time deployment,  13.8772,T1_22,Jake,,,,,,,,,,,Lauxaniidae,Sapromyza,sp,24,1,No
T1_22L.avi,  39186,  21.7918,Time deployment,  14.4372,T1_22,Jake,,,,,,,,,,,Order_Odonata,,sp,,1,No
