MaxN

Generated: Friday, February 01, 2019 11:14:58

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T2_07L.avi,  55925,  31.1005,Time deployment,  17.8606,T2_07,Jake,,,,,,,,,,,,,sp,,1,No
T2_07L.avi,  29861,  16.6061,Time deployment,   3.3661,T2_07,Jake,,,,,,,,,,,Colletidae,Hylaeus,sp,58,1,No
T2_07L.avi, 104569,  58.1520,Time deployment,  44.9121,T2_07,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,2,No
T2_07L.avi,  51665,  28.7315,Time deployment,  15.4916,T2_07,Jake,,,,,,,,,,,Formicidae,Polyrhachis,sp,,1,No
T2_07L.avi,  51221,  28.4846,Time deployment,  15.2447,T2_07,Jake,,,,,,,,,,,Order_Diptera,,,4,1,No
T2_07L.avi, 104000,  57.8356,Time deployment,  44.5957,T2_07,Jake,,,,,,,,,,,Order_Diptera,,sp,,2,No
T2_07L.avi,  71126,  39.5540,Time deployment,  26.3141,T2_07,Jake,,,,,,,,,,,Order_Diptera,,sp4,,1,No
T2_07L.avi,  73570,  40.9131,Time deployment,  27.6732,T2_07,Jake,,,,,,,,,,,Order_Diptera,,sp8,,1,No
