MaxN

Generated: Friday, February 01, 2019 14:31:11

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T4_21L.avi,  53341,  29.6636,Time deployment,  10.6006,T4_21,Jake,,,,,,,,,,,Formicidae,,sp,,1,No
T4_21L.avi,  36826,  20.4794,Time deployment,   1.4164,T4_21,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,7,No
T4_21L.avi,  45473,  25.2881,Time deployment,   6.2251,T4_21,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,2,No
T4_21L.avi,  40705,  22.6365,Time deployment,   3.5736,T4_21,Jake,,,,,,,,,,,Meliphagidae,,sp,,1,No
T4_21L.avi,  59064,  32.8462,Time deployment,  13.7832,T4_21,Jake,,,,,,,,,,,Superfamily_Ichneumonoidea,,sp,,1,No
