MaxN

Generated: Friday, February 01, 2019 11:14:42

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T1_28L.avi,  75553,  42.0159,Time deployment,  36.8769,T1_28,Jake,,,,,,,,,,,,,sp,,1,No
T1_28L.avi,  28213,  15.6896,Time deployment,  10.5506,T1_28,Jake,,,,,,,,,,,Anthophoridae,Xylocopa,sp,,1,No
T1_28L.avi,  12596,   7.0048,Time deployment,   1.8658,T1_28,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,2,No
T1_28L.avi,  98341,  54.6886,Time deployment,  49.5495,T1_28,Jake,,,,,,,,,,,Apidae,Tribe_Meliponini,sp,89,1,No
T1_28L.avi,  89092,  49.5451,Time deployment,  44.4061,T1_28,Jake,,,,,,,,,,,Bombyliidae,,,,1,No
T1_28L.avi,  12869,   7.1566,Time deployment,   2.0176,T1_28,Jake,,,,,,,,,,,Formicidae,,sp,,1,No
T1_28L.avi, 111790,  62.1677,Time deployment,  57.0287,T1_28,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,No
T1_28L.avi,  82881,  46.0911,Time deployment,  40.9521,T1_28,Jake,,,,,,,,,,,Meliphagidae,Lichmera,indistincta,41,2,No
T1_28L.avi, 111479,  61.9948,Time deployment,  56.8557,T1_28,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,No
T1_28L.avi,  88146,  49.0190,Time deployment,  43.8800,T1_28,Jake,,,,,,,,,,,Superfamily_Scarabaeoidea,,sp,,1,No
T1_28L.avi,   9598,   5.3376,Time deployment,   0.1985,T1_28,Jake,,,,,,,,,,,Syrphidae,,sp,,1,No
T1_28L.avi,  12491,   6.9464,Time deployment,   1.8074,T1_28,Jake,,,,,,,,,,,Thomisidae,,,,1,No
