MaxN

Generated: Friday, February 01, 2019 11:14:59

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T2_18L.avi,  32324,  17.9758,Time deployment,   6.9180,T2_18,Jake,,,,,,,,,,,,,sp,,1,No
T2_18L.avi,  99818,  55.5100,Time deployment,  44.4522,T2_18,Jake,,,,,,,,,,,Clade_Anthophila,,sp,,1,No
T2_18L.avi,  51358,  28.5608,Time deployment,  17.5031,T2_18,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,5,No
T2_18L.avi,  19884,  11.0577,Time deployment,   0.0000,T2_18,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,2,No
T2_18L.avi,  54932,  30.5483,Time deployment,  19.4906,T2_18,Jake,,,,,,,,,,,Nymphalidae,,sp,,1,No
T2_18L.avi,  31218,  17.3607,Time deployment,   6.3030,T2_18,Jake,,,,,,,,,,,Order_Diptera,,,4,1,No
T2_18L.avi, 118958,  66.1539,Time deployment,  55.0962,T2_18,Jake,,,,,,,,,,,Pieridae,,,,1,No
T2_18L.avi,  91353,  50.8025,Time deployment,  39.7447,T2_18,Jake,,,,,,,,,,,Pieridae,Delias,nigrina,55,1,No
T2_18L.avi,  68061,  37.8495,Time deployment,  26.7918,T2_18,Jake,,,,,,,,,,,Syrphidae,,sp,,1,No
T2_18L.avi,  81518,  45.3331,Time deployment,  34.2754,T2_18,Jake,,,,,,,,,,,Tiphiidae,,sp,,1,No
