MaxN

Generated: Friday, February 01, 2019 11:14:59

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T2_12L.avi,  48948,  27.2206,Time deployment,  14.1836,T2_12,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,7,No
T2_12L.avi, 108882,  60.5506,Time deployment,  47.5136,T2_12,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,No
T2_12L.avi,  56201,  31.2540,Time deployment,  18.2171,T2_12,Jake,,,,,,,,,,,Oxyopidae,Oxyopes,sp,39,1,No
