MaxN

Generated: Friday, February 01, 2019 14:31:12

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T4_36L.avi,  99213,  55.1735,Time deployment,  39.7831,T4_36,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,No
T4_36L.avi,  57784,  32.1344,Time deployment,  16.7440,T4_36,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,No
T4_36L.avi,  31401,  17.4625,Time deployment,   2.0721,T4_36,Jake,,,,,,,,,,,Order_Hymenoptera,,sp,,1,No
