MaxN

Generated: Friday, February 01, 2019 11:15:13

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T3_19L.avi,  78707,  43.7699,Time deployment,  29.4900,T3_19,Jake,,,,,,,,,,,,,,,1,No
T3_19L.avi,  27413,  15.2447,Time deployment,   0.9649,T3_19,Jake,,,,,,,,,,,Apidae,Apis,mellifera,2,2,No
T3_19L.avi,  26453,  14.7108,Time deployment,   0.4310,T3_19,Jake,,,,,,,,,,,Formicidae,Polyrhachis,daemeli,9,1,No
T3_19L.avi, 108615,  60.4021,Time deployment,  46.1222,T3_19,Jake,,,,,,,,,,,Lycaenidae,,,,1,No
T3_19L.avi, 127302,  70.7941,Time deployment,  56.5143,T3_19,Jake,,,,,,,,,,,Nitidulidae,,,65,1,No
T3_19L.avi,  25678,  14.2798,Time deployment,   0.0000,T3_19,Jake,,,,,,,,,,,Nitidulidae,,sp,,2,No
T3_19L.avi,  70515,  39.2142,Time deployment,  24.9344,T3_19,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,No
