MaxN

Generated: Friday, February 01, 2019 11:15:13

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T3_17L.avi,  21334,  11.8641,Time deployment,   2.5965,T3_17,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,3,No
T3_17L.avi,  16665,   9.2676,Time deployment,   0.0000,T3_17,Jake,,,,,,,,,,,Order_Coleoptera,,sp,,1,No
T3_17L.avi,  62483,  34.7475,Time deployment,  25.4799,T3_17,Jake,,,,,,,,,,,Order_Coleoptera,,sp1,,1,No
T3_17L.avi,  24525,  13.6386,Time deployment,   4.3710,T3_17,Jake,,,,,,,,,,,Order_Diptera,,sp,,1,No
T3_17L.avi,  56494,  31.4170,Time deployment,  22.1494,T3_17,Jake,,,,,,,,,,,Salticidae,,sp,,1,No
