MaxN

Generated: Friday, February 01, 2019 11:14:59

Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,MaxN,Has fed
T2_09L.avi,  72727,  40.4443,Time deployment,  32.0865,T2_09,Jake,,,,,,,,,,,,,sp,,1,No
T2_09L.avi,  15279,   8.4968,Time deployment,   0.1390,T2_09,Jake,,,,,,,,,,,Formicidae,Crematogaster,laeviceps,47,1,No
T2_09L.avi,  26662,  14.8270,Time deployment,   6.4692,T2_09,Jake,,,,,,,,,,,Formicidae,Iridomyrmex,purpureus,50,1,No
T2_09L.avi, 101814,  56.6200,Time deployment,  48.2622,T2_09,Jake,,,,,,,,,,,Order_Coleoptera,,sp,,2,No
T2_09L.avi,  69137,  38.4479,Time deployment,  30.0901,T2_09,Jake,,,,,,,,,,,Order_Diptera,,sp,,6,No
T2_09L.avi, 110780,  61.6061,Time deployment,  53.2482,T2_09,Jake,,,,,,,,,,,Oxyopidae,,,,1,No
