recording,video_file,insect_id,first_frame,last_frame,mean_velocity,median_velocity,mean_relative_velocity,median_relative_velocity
2021-10-17-A-1200,GOPR0126,53,2408,2534,31.341269841269842,2.0,0.09275158868349981,0.005511352690134799
2021-10-17-A-1200,GOPR0126,54,2408,2426,2.5555555555555554,0.0,0.006331764949512899,0.0
2021-10-17-A-1200,GOPR0126,55,2462,2488,0.9615384615384616,0.0,0.0032556846807275035,0.0
2021-10-17-A-1200,GOPR0126,56,2462,2718,57.0625,1.5,0.20275885274433197,0.006124494582523585
2021-10-17-A-1200,GOPR0126,57,2462,2529,22.402985074626866,0.0,0.06763797049492204,0.0
2021-10-17-A-1200,GOPR0126,58,2534,2562,55.285714285714285,0.0,0.15961865067725275,0.0
2021-10-17-A-1200,GOPR0126,59,2534,2569,49.17142857142857,0.0,0.12307813305181724,0.0
2021-10-17-A-1200,GOPR0126,60,2540,2690,33.093333333333334,0.0,0.12248966589022148,0.0
2021-10-17-A-1200,GOPR0126,61,2540,2659,22.96638655462185,0.0,0.08607186463860222,0.0
2021-10-17-A-1200,GOPR0126,62,2702,2720,36.55555555555556,0.0,0.08571405107236013,0.0
2021-10-17-A-1200,GOPR0126,63,2702,2718,19.8125,0.0,0.03834156392503518,0.0
2021-10-17-A-1200,GOPR0126,64,2703,2862,15.352201257861635,6.0,0.04255093587320246,0.01557469920435853
2021-10-17-A-1200,GOPR0126,65,2703,2727,3.25,0.0,0.012573968779274861,0.0
2021-10-17-A-1200,GOPR0126,66,2703,2719,14.1875,0.0,0.0401846077192891,0.0
2021-10-17-A-1200,GOPR0126,67,2731,2746,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,68,2761,2788,0.7037037037037037,0.0,0.0019501112787899235,0.0
2021-10-17-A-1200,GOPR0126,69,2773,2788,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,70,2790,2817,0.9629629629629629,0.0,0.0030905339328496893,0.0
2021-10-17-A-1200,GOPR0126,71,2826,2861,16.34285714285714,0.0,0.028891937866102828,0.0
2021-10-17-A-1200,GOPR0126,72,2831,2904,19.17808219178082,3.0,0.03238485443051378,0.00734003303837862
2021-10-17-A-1200,GOPR0126,73,2889,3153,15.571969696969697,4.5,0.0503404789047317,0.013641331431669925
2021-10-17-A-1200,GOPR0126,74,2916,2970,19.462962962962962,0.0,0.0640754794543259,0.0
2021-10-17-A-1200,GOPR0126,75,2974,2990,0.125,0.0,0.0004673395217571371,0.0
2021-10-17-A-1200,GOPR0126,76,3001,3081,20.625,0.0,0.06732437010260067,0.0
2021-10-17-A-1200,GOPR0126,77,3085,3264,52.357541899441344,0.0,0.19330096905409438,0.0
2021-10-17-A-1200,GOPR0126,78,3099,3317,51.440366972477065,0.0,0.1815042457818622,0.0
2021-10-17-A-1200,GOPR0126,79,3228,3245,0.5294117647058824,0.0,0.0019016257895535604,0.0
2021-10-17-A-1200,GOPR0126,80,3249,3612,66.57575757575758,2.0,0.2597326396439092,0.008714948564688761
2021-10-17-A-1200,GOPR0126,81,3249,3264,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,82,3332,3463,33.83206106870229,0.0,0.1174434994115433,0.0
2021-10-17-A-1200,GOPR0126,83,3448,3600,62.31578947368421,0.0,0.2280145814409398,0.0
2021-10-17-A-1200,GOPR0126,84,3485,3643,53.075949367088604,0.0,0.2074755824593143,0.0
2021-10-17-A-1200,GOPR0126,85,3621,3637,0.125,0.0,0.00042607557077478745,0.0
2021-10-17-A-1200,GOPR0126,86,3621,3637,0.5,0.0,0.0017043022830991498,0.0
2021-10-17-A-1200,GOPR0126,87,3621,3800,113.97765363128492,3.0,0.4564493862674578,0.009847558009919398
2021-10-17-A-1200,GOPR0126,88,3621,3636,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,89,3650,3720,36.74285714285714,0.0,0.12555066782380955,0.0
2021-10-17-A-1200,GOPR0126,90,3651,3666,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,91,3724,3800,71.77631578947368,0.0,0.2695328004969411,0.0
