recording,video_file,insect_id,first_frame,last_frame,mean_velocity,median_velocity,mean_relative_velocity,median_relative_velocity
2021-10-17-A-1500,GP032122,0,0,502,52.48406374501992,10.0,0.19908027448303736,0.04056568888013798
2021-10-17-A-1500,GP032122,1,15,95,13.375,0.0,0.04942745819945676,0.0
2021-10-17-A-1500,GP032122,2,41,79,10.657894736842104,0.0,0.036897541934235716,0.0
2021-10-17-A-1500,GP032122,3,105,154,28.346938775510203,0.0,0.11128657235243472,0.0
2021-10-17-A-1500,GP032122,4,124,157,14.333333333333334,0.0,0.053795133828709846,0.0
2021-10-17-A-1500,GP032122,5,223,285,38.11290322580645,0.0,0.13620503296196307,0.0
2021-10-17-A-1500,GP032122,6,290,307,2.1176470588235294,0.0,0.007512410292544136,0.0
2021-10-17-A-1500,GP032122,7,389,416,0.18518518518518517,0.0,0.000567708271780787,0.0
2021-10-17-A-1500,GP032122,8,434,450,0.4375,0.0,0.0012685423249072655,0.0
2021-10-17-A-1500,GP032122,9,434,449,0.0,0.0,0.0,0.0
2021-10-17-A-1500,GP032122,10,454,469,0.0,0.0,0.0,0.0
2021-10-17-A-1500,GP032122,11,487,865,52.44179894179894,5.0,0.15289869801353653,0.012363688380158253
2021-10-17-A-1500,GP032122,12,504,527,10.391304347826088,0.0,0.035485725560704284,0.0
2021-10-17-A-1500,GP032122,13,551,601,98.96,0.0,0.3457792807767754,0.0
2021-10-17-A-1500,GP032122,14,561,701,48.1,0.0,0.15594038777091873,0.0
2021-10-17-A-1500,GP032122,15,616,793,24.15819209039548,0.0,0.06291862032335709,0.0
2021-10-17-A-1500,GP032122,16,664,764,23.18,0.0,0.05283027790679223,0.0
2021-10-17-A-1500,GP032122,17,664,844,14.594444444444445,0.0,0.03549297266493009,0.0
2021-10-17-A-1500,GP032122,18,778,793,0.0,0.0,0.0,0.0
2021-10-17-A-1500,GP032122,19,808,942,38.38805970149254,0.0,0.07876542966502387,0.0
2021-10-17-A-1500,GP032122,20,837,967,72.36923076923077,12.0,0.16966443945482618,0.025342111697369083
2021-10-17-A-1500,GP032122,21,837,854,3.4705882352941178,0.0,0.007398932281747206,0.0
2021-10-17-A-1500,GP032122,22,837,853,1.375,0.0,0.002803787904108763,0.0
2021-10-17-A-1500,GP032122,23,890,1204,29.745222929936304,7.0,0.09358031738908389,0.02197131375072783
2021-10-17-A-1500,GP032122,24,911,956,48.111111111111114,0.0,0.1285565213415745,0.0
2021-10-17-A-1500,GP032122,25,991,1006,0.0,0.0,0.0,0.0
2021-10-17-A-1500,GP032122,26,1099,1114,0.0,0.0,0.0,0.0
2021-10-17-A-1500,GP032122,27,1188,1425,62.552742616033754,7.0,0.22233222271858005,0.02535100632816969
2021-10-17-A-1500,GP032122,28,1209,1242,3.272727272727273,0.0,0.009459323204328428,0.0
2021-10-17-A-1500,GP032122,29,1261,1287,79.76923076923077,0.0,0.25169152630907654,0.0
2021-10-17-A-1500,GP032122,30,1320,1335,0.0,0.0,0.0,0.0
2021-10-17-A-1500,GP032122,31,1403,1517,70.02631578947368,4.0,0.2641007847089212,0.016651759675658857
2021-10-17-A-1500,GP032122,32,1434,1451,1.6470588235294117,0.0,0.00651439812479691,0.0
2021-10-17-A-1500,GP032122,33,1434,1479,5.5777777777777775,0.0,0.018435028442784013,0.0
2021-10-17-A-1500,GP032122,34,1482,1734,150.87698412698413,15.0,0.5740453625086903,0.05902881247892775
2021-10-17-A-1500,GP032122,35,1584,1631,56.95744680851064,0.0,0.20933044854549046,0.0
2021-10-17-A-1500,GP032122,36,1643,1661,70.33333333333333,0.0,0.29147760705845216,0.0
2021-10-17-A-1500,GP032122,37,1696,1770,32.648648648648646,0.0,0.12805641985784502,0.0
2021-10-17-A-1500,GP032122,38,1699,1846,34.7891156462585,5.0,0.13558473388717263,0.022507684872859177
2021-10-17-A-1500,GP032122,39,1699,1716,27.41176470588235,0.0,0.10696871872376254,0.0
2021-10-17-A-1500,GP032122,40,1741,1757,4.625,0.0,0.020645469936841396,0.0
2021-10-17-A-1500,GP032122,41,1741,1757,5.5,0.0,0.0245513696546222,0.0
2021-10-17-A-1500,GP032122,42,1824,1848,9.166666666666666,0.0,0.03601805777055902,0.0
2021-10-17-A-1500,GP032122,43,1831,2128,67.28956228956228,8.0,0.2646702354318271,0.03258040961845132
2021-10-17-A-1500,GP032122,44,1831,1847,0.4375,0.0,0.001972302109777944,0.0
2021-10-17-A-1500,GP032122,45,1856,1873,1.0,0.0,0.004304191698229574,0.0
2021-10-17-A-1500,GP032122,46,1858,1874,0.1875,0.0,0.0006645552583126898,0.0
2021-10-17-A-1500,GP032122,47,1935,1976,13.195121951219512,0.0,0.05108140937273061,0.0
2021-10-17-A-1500,GP032122,48,1991,2031,11.2,0.0,0.038606131151393865,0.0
2021-10-17-A-1500,GP032122,49,2006,2033,24.25925925925926,0.0,0.08320509475043263,0.0
2021-10-17-A-1500,GP032122,50,2067,2184,33.34188034188034,0.0,0.12881702963217176,0.0
2021-10-17-A-1500,GP032122,51,2081,2220,71.87769784172662,8.0,0.2548887719819092,0.03262019944193622
2021-10-17-A-1500,GP032122,52,2107,2123,0.875,0.0,0.003188761958218165,0.0
2021-10-17-A-1500,GP032122,53,2107,2127,0.85,0.0,0.0022520193721947703,0.0
2021-10-17-A-1500,GP032122,54,2205,2220,46.93333333333333,0.0,0.1550091933227201,0.0
