recording,video_file,insect_id,first_frame,last_frame,mean_velocity,median_velocity,mean_relative_velocity,median_relative_velocity
2021-10-17-A-1200,GP010126,0,0,241,62.302904564315355,0.0,0.22858742487675607,0.0
2021-10-17-A-1200,GP010126,1,3,176,43.72832369942196,2.0,0.17044068018239422,0.008102746030166587
2021-10-17-A-1200,GP010126,2,85,122,4.378378378378378,0.0,0.015992262605131636,0.0
2021-10-17-A-1200,GP010126,3,199,248,41.673469387755105,0.0,0.14791185665906376,0.0
2021-10-17-A-1200,GP010126,4,200,221,2.5238095238095237,0.0,0.008921898975866168,0.0
2021-10-17-A-1200,GP010126,5,206,367,60.06832298136646,3.0,0.2192745695692438,0.012753031995248526
2021-10-17-A-1200,GP010126,6,283,412,96.53488372093024,3.0,0.38025349686985577,0.012309874448606189
2021-10-17-A-1200,GP010126,7,378,875,103.16297786720322,4.0,0.4039881175974674,0.01586040828289381
2021-10-17-A-1200,GP010126,8,418,496,105.78205128205128,0.0,0.3777818630177157,0.0
2021-10-17-A-1200,GP010126,9,556,873,69.1230283911672,0.0,0.26088310707360257,0.0
2021-10-17-A-1200,GP010126,10,852,1058,39.94174757281554,0.0,0.15681103583775405,0.0
2021-10-17-A-1200,GP010126,11,882,1049,54.31137724550898,0.0,0.2118867448799664,0.0
2021-10-17-A-1200,GP010126,12,893,1652,54.15942028985507,0.0,0.19435763867533623,0.0
2021-10-17-A-1200,GP010126,13,1070,1686,46.10551948051948,0.0,0.18557933573353086,0.0
2021-10-17-A-1200,GP010126,14,1074,1089,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GP010126,15,1074,1089,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GP010126,16,1099,1168,14.652173913043478,0.0,0.06069243804621137,0.0
2021-10-17-A-1200,GP010126,17,1379,1403,1.125,0.0,0.004352104219155477,0.0
2021-10-17-A-1200,GP010126,18,1379,1486,3.691588785046729,0.0,0.015537538132563688,0.0
2021-10-17-A-1200,GP010126,19,1613,1653,14.125,0.0,0.056207966873820604,0.0
2021-10-17-A-1200,GP010126,20,1658,1814,53.98076923076923,2.0,0.20836197582190288,0.009305712952293519
2021-10-17-A-1200,GP010126,21,1673,1688,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GP010126,22,1673,1688,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GP010126,23,1692,2546,99.28337236533957,4.0,0.38308228165992403,0.014574032811866776
2021-10-17-A-1200,GP010126,24,1797,1983,96.46774193548387,4.0,0.3316170848337603,0.012939531947798592
2021-10-17-A-1200,GP010126,25,1797,1819,4.681818181818182,0.0,0.015383498100303442,0.0
2021-10-17-A-1200,GP010126,26,1853,1888,8.714285714285714,0.0,0.03067272430655702,0.0
2021-10-17-A-1200,GP010126,27,2066,2145,46.81012658227848,0.0,0.18679914820177843,0.0
2021-10-17-A-1200,GP010126,28,2150,2327,50.49717514124294,0.0,0.2000424786964553,0.0
2021-10-17-A-1200,GP010126,29,2410,2425,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GP010126,30,2502,2552,85.6,13.0,0.3153973899708323,0.047372921995706335
